,プレイヤーレベル,視線移動量_生横,視線移動量_生縦,視線移動量_正横,視線移動量_正縦,ミニマップ割合,戦闘ログ割合,ＨＰバー割合,武器弾薬割合,まばたき間隔,まばたき割合
0,初級者,7.656332466493299,4.517101420284057,0.010613099548232752,0.011902362818359467,0.0198,0.0002,0.0558,0.0122,3.5918367346938775,0.008
1,初級者,10.080769353870776,5.511148029605921,0.013973819598825042,0.014521631748071662,0.0126,0.0302,0.0206,0.024,2.070588235294118,0.0154
2,初級者,11.403151830366074,5.4660850170034,0.015806887444990706,0.01440289269933678,0.0578,0.0848,0.0126,0.0072,1.7064220183486238,0.0204
3,初級者,10.311650730146031,5.212222444488898,0.014833257903661155,0.014177015948432074,0.028,0.0574,0.0178,0.0016,2.4,0.0156
4,初級者,11.555325865173035,5.546735747149429,0.016017828935205567,0.014615403812647863,0.066,0.1174,0.0172,0.0,1.537190082644628,0.021
5,初級者,7.8163858771754375,4.056847969593919,0.010834963317607665,0.012216698596077737,0.0098,0.0016,0.0036,0.0228,3.3333333333333335,0.0088
6,初級者,10.109592118423686,5.081745349069815,0.014273157923720498,0.013822123983946314,0.021,0.0024,0.0984,0.04,2.7384615384615385,0.011
7,初級者,10.159454690938189,5.176631126225245,0.014082892097823398,0.013640194476145071,0.0442,0.0178,0.0114,0.0564,1.935483870967742,0.019
8,初級者,12.623228245649129,5.84091198239648,0.017498140079136144,0.015390545205029808,0.0466,0.017,0.0078,0.0212,2.430379746835443,0.0126
9,初級者,9.939067013402681,4.78044828965793,0.01377739382288244,0.012596270192741567,0.0256,0.0144,0.0038,0.024,2.579710144927536,0.0134
10,初級者,9.424796559311863,4.678429485897179,0.01330633403545966,0.012327455148828045,0.0358,0.0322,0.0052,0.0202,2.1927710843373496,0.014
11,初級者,9.12567573514703,4.801798159631926,0.012649882361543643,0.012652526157554354,0.0398,0.0244,0.0286,0.0384,2.535211267605634,0.0134
12,初級者,7.111430886177237,7.508087217443489,0.013175782349073588,0.021696664097013967,0.0498,0.0174,0.0292,0.0486,6.545454545454546,0.0154
13,初級者,5.255182636527306,4.550127825565113,0.009927501788073256,0.01314883433964396,0.0364,0.0064,0.0006,0.0046,7.391304347826087,0.007
14,初級者,5.8988349669934,4.323824364872974,0.012354667775999978,0.012494868818409508,0.157,0.002,0.001,0.017,9.368421052631579,0.0054
15,初級者,5.7327489497899595,4.765790958191638,0.010621414119503013,0.013772051733261393,0.0186,0.0042,0.0164,0.0118,8.19047619047619,0.0076
16,初級者,6.681620524104823,4.989425485097019,0.012379446439650606,0.014995057628215049,0.055,0.0058,0.0,0.0244,6.96,0.01
17,初級者,5.076611922384479,4.8110546109221834,0.009405748973819515,0.017213075531027494,0.0812,0.007,0.0262,0.0032,13.384615384615385,0.0044
18,初級者,6.527977195439088,5.343538107621523,0.012331922553893952,0.016059296225924072,0.0516,0.0114,0.0056,0.0064,6.518518518518518,0.01
19,初級者,4.92297899579916,4.73382976595319,0.011292660761791421,0.013679691158316734,0.0158,0.051,0.0204,0.0,19.333333333333332,0.0032
20,上級者,10.920226845369074,7.69999899979996,0.014945006863843242,0.019491398469545222,0.0354,0.0442,0.0832,0.0066,2.9836065573770494,0.0172
21,上級者,10.59906121224245,6.3541020204040795,0.014505471801112984,0.017156741136647117,0.0706,0.0272,0.0434,0.0038,3.309090909090909,0.0186
22,上級者,11.549172034406883,7.613572914582916,0.015805757313467585,0.019272623731370314,0.0502,0.0418,0.017,0.0142,2.043956043956044,0.0286
23,上級者,10.945255051010202,6.539320064012803,0.014979259513572303,0.016553312940803866,0.0704,0.0506,0.06,0.0016,4.769230769230769,0.0188
24,上級者,8.795024404880975,6.183704740948189,0.012036535683721199,0.01565312581559664,0.0642,0.0186,0.0128,0.003,3.911111111111111,0.0124
25,上級者,8.427696339267854,6.467704740948189,0.011533824472717516,0.01637202943694707,0.1204,0.013,0.019,0.0056,4.410256410256411,0.012
26,上級者,8.375919583916785,6.395385277055412,0.011740500467349271,0.01757191212390381,0.0196,0.0046,0.0216,0.0118,2.9523809523809526,0.0242
27,上級者,7.957981196239247,6.3762486497299475,0.011154677527349558,0.01751933247167905,0.0606,0.0138,0.0244,0.0134,2.9855072463768115,0.0342
28,上級者,9.089496099219845,5.7937887577515506,0.013051463667420278,0.015918970086278662,0.024,0.021,0.0386,0.008,3.3962264150943398,0.0172
29,上級者,10.805438287657532,6.813061812362473,0.015145949288929724,0.01871951700721922,0.069,0.0168,0.0528,0.0112,0.6323024054982818,0.0834
30,上級者,8.335117023404681,5.893407481496298,0.011683307645001594,0.016192681736743,0.015,0.0034,0.0358,0.0168,1.7425742574257426,0.0296
31,上級者,8.065178235647128,6.44399899979996,0.011369847008304994,0.013906780959101797,0.073,0.0358,0.0492,0.0052,3.411764705882353,0.0304
32,上級者,8.276270454090819,6.01390398079616,0.011667433268425113,0.012724095939599056,0.05,0.0412,0.01,0.003,3.017543859649123,0.0254
33,上級者,10.03221624324865,6.156657131426285,0.014142869569306816,0.013026130157321517,0.0632,0.0264,0.0462,0.0162,2.042105263157895,0.046
34,上級者,7.9978063612722545,5.683925985197039,0.011417641041220785,0.012025935196200562,0.0216,0.053,0.0406,0.0106,2.646153846153846,0.0316
35,上級者,9.214493098619723,5.902665933186636,0.012990088219914236,0.012488740736982423,0.0674,0.0242,0.0186,0.0162,2.3095238095238093,0.0404
